# Latitude, Longitude, 00:1f:9f:8a:81:e9, 00:24:17:34:42:f9, 00:0b:3b:73:4a:67, 00:1d:68:6c:bc:b1, 00:14:7f:b4:e9:b7, 00:24:17:21:08:b7, 00:24:17:32:4d:65, 74:ea:3a:b8:49:32
35.127137303352356, 33.3512145280838, -90, -78, -110, -92, -96, -82, -110, -110
35.127185583114624, 33.35091948509216, -90, -81.5, -110, -95, -110, -88.5, -94.5, -110
35.127169489860535, 33.35093557834625, -99.3, -80.1, -110, -99.8, -106.6, -90.1, -110, -107.7
35.127158761024475, 33.35121989250183, -102.4, -77.2, -107.5, -96.5, -100.5, -83.1, -110, -110
35.127142667770386, 33.35123598575592, -107.5, -77.3, -108.5, -93.8, -100.9, -82.8, -110, -110
35.127435, 33.3512735, -110, -72.8, -110, -110, -110, -110, -110, -110
35.12720167636871, 33.3509087562561, -107.9, -75.7, -110, -108.2, -110, -107.7, -108.1, -110
35.127126574516296, 33.35123598575592, -91, -78, -110, -94, -110, -85, -110, -110
