# X, Y, d4:d7:48:d8:2e:70, 00:0e:84:4b:0b:ad, 00:1f:6c:a8:e6:a2, 00:1f:6c:a8:e6:a1, 00:1f:6c:a8:e6:a0, 00:0e:84:4b:0a:f1, 00:0e:84:4b:0b:9f, 24:b6:57:b4:f6:20, 00:0e:84:4b:0b:c0, 00:3a:98:21:8d:12, 24:b6:57:7b:e8:a0, 00:3a:98:2a:5f:c2, 00:3a:98:2a:5f:c0, 00:0e:84:4b:0b:ec, 00:3a:98:2a:5f:c1, 00:0e:84:4b:0b:eb, 00:0e:84:4b:0c:05, 00:0e:84:4b:0b:aa, 00:16:b6:ee:00:7f, 00:0e:84:4b:0c:10, 00:0e:84:4b:0c:11, 00:0e:84:4b:0c:12, 00:3a:98:2a:59:81, 00:3a:98:2a:59:80, 00:3a:98:2a:59:82, 00:3a:98:2a:5c:50, 00:3a:98:2a:5c:52, 00:3a:98:2a:5c:51, 00:1f:6c:a9:1b:71, 00:0b:fd:4a:71:b2, 00:1f:6c:a9:1b:70, 00:0e:84:4b:0a:f8, 00:3a:98:2a:6b:22, 00:3a:98:2a:6b:21, 00:0b:fd:4a:71:b5, 00:3a:98:2a:6b:20, 00:3a:98:2a:54:20, 00:0e:84:4b:0c:0a, 00:0e:84:4b:0b:ff, 00:1f:6c:a9:1b:72, 00:3a:98:2a:59:c2, 00:3a:98:2a:54:21, 00:3a:98:2a:59:c1, 00:3a:98:2a:59:c0, 00:24:17:21:1a:95, d4:d7:48:d8:2b:00, 00:3a:98:2a:63:b0, 00:3a:98:2a:63:b2, 00:3a:98:2a:63:b1, d4:d7:48:d8:28:30, 00:0e:38:7a:37:77, 00:1b:11:6a:18:0f, 2c:3f:38:f7:fe:80, 00:0e:84:4b:0b:7c, d4:d7:48:b0:8f:40, 00:0e:84:4b:0c:0f, 2c:3f:38:f7:fe:81, 00:0b:fd:4a:71:ce, 00:0e:84:4b:0b:7f, 00:0e:84:4b:0b:02, 00:0b:fd:f3:ab:0b, 00:0e:38:7a:37:b2, 00:0e:84:4b:0b:05, d4:d7:48:d8:2c:70, 00:0b:fd:4a:71:a2, 00:0b:fd:f3:ab:56, 00:0e:84:4b:0b:86, d4:d7:48:b0:97:10, 00:1f:6c:a8:e5:81, 00:1f:6c:a8:e5:82, 00:0e:84:4b:0b:f6, 00:3a:98:36:01:32, 24:b6:57:7b:ee:d0, 00:3a:98:36:01:30, 00:3a:98:36:01:31, 24:b6:57:7b:e9:60, d4:d7:48:d8:28:b0, 00:0e:84:4b:0a:8f, d4:d7:48:d8:2f:a0, 00:0e:84:4b:0b:dc, 00:0e:84:4b:0b:a2, 00:3a:98:2a:5a:30, 00:3a:98:2a:5a:32, 00:3a:98:2a:5a:31, 00:0e:84:4b:0b:70, d4:d7:48:b0:95:f0, d4:d7:48:b0:8d:20, 00:0b:fd:4a:71:d6, 00:0e:84:4b:0b:e8
75.79426574707031, 32.56747055053711, -96.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -66.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -105.4, -110, -110, -110, -109.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -89.2, -110
5.582712650299072, 20.261220932006836, -110, -110, -110, -110, -110, -110, -110, -60.3, -104.5, -110, -110, -110, -110, -110, -110, -110, -110, -105.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -102.1, -110, -110, -110, -110, -110, -110, -110, -110, -89.2, -110, -110, -110, -110, -110, -92.5, -110, -110, -110, -110, -110, -110, -91.1, -110, -110, -73.7, -110, -110, -110, -110, -110, -110, -110, -110, -110, -85.8, -56.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.4, -110, -110, -110, -92.6, -110, -110, -110, -110, -110, -110, -110, -110, -110
73.97193145751953, 19.963258743286133, -86.4, -110, -110, -110, -110, -110, -110, -110, -110, -110, -75.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -105.7, -110, -110, -110, -110, -110, -110, -110, -105.9, -110, -110, -110, -110, -110, -85.6, -110, -110, -110, -107.6, -110, -110, -110, -110, -74.2, -110, -110, -110, -108.4, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -88.8, -110
54.80699920654297, 34.910823822021484, -69.1, -110, -107.8, -107.8, -107.8, -109, -110, -110, -110, -110, -77.4, -110, -110, -102.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -94.8, -110, -105.1, -110, -110, -110, -99.2, -110, -110, -110, -110, -99.9, -110, -110, -110, -110, -109.2, -109.2, -110, -110, -110, -99.6, -110, -110, -110, -110, -110, -110, -110, -88.2, -110, -110, -110, -110, -110, -90.3, -103.2, -110, -110, -87.7, -110, -110, -110, -110, -110, -110, -110, -82.9, -106.8, -110, -95, -110, -110, -110, -110, -110, -110, -110, -97.1, -55.9, -101.6
2.4117705821990967, 17.21668243408203, -110, -96.5, -110, -110, -110, -110, -110, -76.8, -89.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -105.1, -110, -110, -110, -110, -110, -110, -110, -110, -101.4, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -78.3, -110, -110, -83.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -93.2, -59, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -87.7, -110, -110, -110, -110, -110, -110, -110, -110, -110
45.156463623046875, 10.327629089355469, -71.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -90.4, -110, -110, -102.3, -110, -110, -110, -110, -69.8, -110, -110, -110, -110, -110, -110, -110, -110, -110, -109.2, -106, -109.2, -110, -110, -110, -99, -110, -110, -110, -110, -109.2, -110, -110, -110, -110, -93.7, -89.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -90.9, -110, -110, -82.1, -110, -110, -85.5, -110, -109.3, -110, -103.9, -110, -110, -110, -108.4, -110, -110, -108.6, -82.2, -110, -110, -92.9, -110, -110, -110, -110, -110, -110, -90.7, -91.9, -107.6, -110
3.9927961826324463, 21.878921508789063, -110, -106.9, -110, -110, -110, -110, -110, -61.1, -99.7, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.3, -110, -110, -110, -110, -110, -110, -110, -110, -90.9, -110, -110, -110, -110, -110, -101.8, -110, -110, -110, -110, -110, -110, -92.4, -110, -110, -75.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -106.2, -50.5, -110, -110, -110, -110, -110, -110, -110, -110, -110, -103.8, -110, -110, -110, -95.7, -110, -110, -110, -110, -110, -110, -110, -110, -110
7.172979354858398, 17.217689514160156, -110, -109, -110, -110, -110, -110, -110, -79.1, -109.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -90.9, -110, -110, -110, -110, -110, -110, -110, -110, -107.3, -110, -110, -110, -110, -110, -93.4, -110, -110, -110, -110, -110, -110, -90.8, -110, -110, -81.1, -110, -110, -110, -110, -110, -110, -110, -110, -110, -82.8, -63.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -103.8, -110, -110, -95.9, -100.2, -110, -110, -110, -110, -110, -110, -110, -110, -110
23.330442428588867, 2.9877989292144775, -107.1, -94, -110, -110, -110, -110, -110, -109.2, -110, -110, -110, -110, -110, -107.7, -110, -110, -110, -110, -86.2, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -87.8, -110, -110, -97.7, -96.2, -110, -100.6, -110, -110, -110, -110, -110, -110, -110, -110, -97.6, -110, -110, -110, -110, -110, -110, -105.3, -110, -110, -97, -110, -110, -108.4, -110, -110, -110, -110, -110, -94.6, -107.4, -110, -110, -110, -110, -110, -110, -107.6, -110, -108.3, -107.6, -87.6, -110, -110, -107.3, -110, -110, -109.3, -107.2, -109.2, -110, -110, -110, -110, -110
75.78121185302734, 38.86570358276367, -109.3, -110, -110, -110, -110, -110, -110, -110, -110, -110, -73.7, -110, -110, -105.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -107.9, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -108.7, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -109.2, -108.4, -110, -110, -108.6, -110, -110, -110, -110, -110, -110, -110, -110, -110, -110, -105.3, -110, -110, -110, -110, -110, -110, -110, -110, -94.3, -110
